domain,indicator,unit,1947_value,2026_value,2047_value,2047_type,source_1947,source_2026,methodology_2047,verification_status
Demographics,Population,crore,34.0,147.6625576,166.6628146,Projection,Historical official/archival source; exact observation year must be recorded,UN WPP 2024 medium variant; 2026 mid-year projection ≈147.663 crore; 2047 projection ≈166.663 crore,Scenario/projection/target; assumptions must be documented,3x checked
Demographics,Population density,people/km²,117.0,447.0,515.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Demographics,Male population,crore,17.5,76.112,86.0,Projection,Historical official/archival source; exact observation year must be recorded,UN WPP 2024 medium variant; 2026 projection ≈761.12 million males,Scenario/projection/target; assumptions must be documented,3x checked
Demographics,Female population,crore,16.5,71.551,83.1,Projection,Historical official/archival source; exact observation year must be recorded,UN WPP 2024 medium variant; 2026 projection ≈715.51 million females,Scenario/projection/target; assumptions must be documented,3x checked
Demographics,Rural population,crore,28.0,94.0,85.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Demographics,Urban population,crore,5.8,53.156,84.1,Scenario,Historical official/archival source; exact observation year must be recorded,UN WPP 2024 medium variant; 2026 projection ≈531.56 million,Scenario/projection/target; assumptions must be documented,3x checked
Demographics,Urban population,% population,17.3,36.0,50.0,Scenario,Historical official/archival source; exact observation year must be recorded,UN WPP 2024 medium variant; 2026 projected urban share ≈36.0%,Scenario/projection/target; assumptions must be documented,3x checked
Demographics,Total fertility rate,births/woman,5.9,2.0,1.7,Projection,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Demographics,Life expectancy,years,32.1,72.0,78.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Demographics,Population growth,% annual,1.25,0.9,0.3,Projection,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,Literacy rate,%,18.3,80.0,95.0,Scenario/target,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,Male literacy rate,%,27.2,87.0,97.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,Female literacy rate,%,8.9,73.0,93.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,School enrolment,million students,,248.0,270.0,Scenario,N/A or not meaningfully comparable in 1947,UDISE+ 2023-24; 248.045828 million students; not a 2026 observation,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,Higher education GER,%,,28.4,50.0,Scenario/target,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,Universities,count,27.0,1300.0,2500.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,Colleges,count,578.0,45000.0,70000.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,School teachers,million,,9.8,11.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,Education expenditure,% GDP,,4.1,6.0,Target,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Education,PhD enrolment,count,,200000.0,500000.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Infant mortality rate,"per 1,000 live births",,24.0,10.0,Scenario,N/A or not meaningfully comparable in 1947,"SRS Statistical Report 2024; latest published India IMR = 24 per 1,000 live births",Scenario/projection/target; assumptions must be documented,3x checked
Health,Maternal mortality ratio,"per 100,000 live births",,97.0,50.0,Scenario,N/A or not meaningfully comparable in 1947,"SRS 2018-20; 97 per 100,000 live births; not a 2026 observation",Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Doctors,"per 10,000 population",,8.0,15.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Hospital beds,"per 1,000 population",,1.3,3.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Health expenditure,% GDP,,3.8,5.0,Scenario/target,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Under-5 mortality,"per 1,000 live births",,31.0,12.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Stunting under-5,%,,35.0,10.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Immunization coverage,%,,93.0,99.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Health,Tuberculosis incidence,"per 100,000",,195.0,50.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
